Serial,sequence_ID,sequence_length,telo_density,Telomere_start,Telomere_end,Telomere_length,telo_density_mismatch,Telomere_start_mismatch,Telomere_end_mismatch,Telomere_length_mismatch
21,0a5b42ff-3fd4-4d2b-908b-8d17aa2aacd0 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=981 start_time=2025-11-20T17:19:55.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=0a5b42ff-3fd4-4d2b-908b-8d17aa2aacd0 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,47934,0.9728011303426352,83,8575,8493,0.9869448653689241,77,8655,8579
22,8243380f-6140-462a-8b02-aa99518e2fa3 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1586 start_time=2025-11-20T07:45:11.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=8243380f-6140-462a-8b02-aa99518e2fa3 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,17868,0.9284978363898619,96,9801,9706,0.9938258901008438,90,9807,9718
23,23c61f7a-1c39-4760-996d-d6aef6a4fc35 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1879 start_time=2025-11-20T12:00:28.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=23c61f7a-1c39-4760-996d-d6aef6a4fc35 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,6493,0.9807692307692307,91,3210,3120,0.9797979797979798,85,3549,3465
24,6a9a3b21-598e-4511-bd6f-1721eaf328a2 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1331 start_time=2025-11-20T15:16:01.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=6a9a3b21-598e-4511-bd6f-1721eaf328a2 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,5425,0.9147811376612391,90,4818,4729,0.9797487342958935,84,5416,5333
25,104c4454-2bb7-4493-94e7-d4d1781246c9 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2355 start_time=2025-11-20T17:27:34.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=104c4454-2bb7-4493-94e7-d4d1781246c9 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,6018,0.9762389680923286,93,4511,4419,0.9963841807909605,87,4511,4425
26,44d1f3df-13d3-4342-b7a4-6207c074a59f runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=981 start_time=2025-11-20T07:53:16.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=44d1f3df-13d3-4342-b7a4-6207c074a59f basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,73453,0.9844840961986036,93,5248,5156,0.9527679024885729,87,5993,5907
27,f39d45fc-66d0-43c1-b4d1-6f1640425381 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2274 start_time=2025-11-20T12:03:24.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=f39d45fc-66d0-43c1-b4d1-6f1640425381 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,1725,0.9772587584511371,94,1720,1627,0.9993894993894994,88,1725,1638
28,98c4ab3f-71e3-439f-8d7c-f6d81138d0b6 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1685 start_time=2025-11-20T15:48:10.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=98c4ab3f-71e3-439f-8d7c-f6d81138d0b6 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,7714,0.9631603699639442,92,6470,6379,0.9917676994461907,86,6766,6681
29,3ffa2c70-37ad-454f-85cc-27fcc77af2e2 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1704 start_time=2025-11-20T18:26:45.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=3ffa2c70-37ad-454f-85cc-27fcc77af2e2 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,25842,0.9967538667175864,97,5333,5237,0.9959320834807216,91,5744,5654
30,edc2f5a6-0c70-4e1f-ad1d-225fdcfade8b runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2205 start_time=2025-11-20T09:39:42.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=edc2f5a6-0c70-4e1f-ad1d-225fdcfade8b basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,34795,0.9797859690844233,119,2641,2523,0.9992091735863978,113,2641,2529
